id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,Activity,Stage,DefenderResponse,Signature,Guess,IP_flag,Port_flag,Agent_flag,Transfer_flag,Violations
0,0,10.1.3.8,fa:16:3e:f6:2f:13,fa:16:3e,59004,10.8.10.84,fa:16:3e:2b:10:fa,fa:16:3e,443,6,4,0,0,1625255524561,1625255539364,14803,10,684,1625255524561,1625255539364,14803,5,330,1625255524562,1625255539364,14802,5,354,54,68.4,12.393546707863734,90,54,66.0,14.696938456699067,90,66,70.8,10.73312629199899,90,0,1644.7777777777774,4899.497545100359,14710,0,3700.750000000001,7340.294788585356,14711,0,3700.5,7340.364954596376,14711,0,0,0,0,8,2,2,2,0,0,0,0,3,1,2,1,0,0,0,0,5,1,0,1,TLS,Web,1,,,,,,Encrypted Channel: Symmetric Cryptography,Establish Foothold,Benign,APT,True,True,,,,1
7,0,10.1.3.8,fa:16:3e:f6:2f:13,fa:16:3e,59016,10.8.10.84,fa:16:3e:2b:10:fa,fa:16:3e,443,6,4,0,0,1625255611614,1625255671683,60069,32,4355,1625255611614,1625255671683,60069,17,2049,1625255611615,1625255671683,60068,15,2306,54,136.09375,220.69294964768025,1251,54,120.52941176470588,112.63553926662024,410,66,153.73333333333332,304.5011064175692,1251,0,1937.7096774193544,5109.877110026218,15103,0,3754.3125,6704.693646680163,15104,0,4290.571428571428,7028.051132801662,15104,2,0,0,0,29,10,2,2,1,0,0,0,14,6,2,1,1,0,0,0,15,4,0,1,TLS,Web,0,,89be98bbd4f065fe510fca4893cf8d9b,f4febc55ea12b31ae17cfb7e614afda8,,,Encrypted Channel: Symmetric Cryptography,Establish Foothold,Benign,APT,True,True,,,,1
10,0,10.1.3.8,fa:16:3e:f6:2f:13,fa:16:3e,59022,10.8.10.84,fa:16:3e:2b:10:fa,fa:16:3e,443,6,4,0,0,1625255719286,1625255779379,60093,33,4417,1625255719286,1625255779379,60093,17,2045,1625255719287,1625255779378,60091,16,2372,54,133.84848484848487,217.4458440066344,1251,54,120.29411764705884,112.164925837961,410,66,148.25,294.9925422786143,1251,0,1877.90625,5033.39510482239,15110,0,3755.8125,6695.973448959207,15110,0,4006.066666666666,6853.241219271638,15110,2,0,0,0,30,10,2,2,1,0,0,0,14,6,2,1,1,0,0,0,16,4,0,1,TLS,Web,0,,89be98bbd4f065fe510fca4893cf8d9b,f4febc55ea12b31ae17cfb7e614afda8,,,Encrypted Channel: Symmetric Cryptography,Establish Foothold,Benign,APT,True,True,,,,1
18,0,10.1.3.8,fa:16:3e:f6:2f:13,fa:16:3e,59028,10.8.10.84,fa:16:3e:2b:10:fa,fa:16:3e,443,6,4,0,0,1625255791763,1625255851868,60105,33,4427,1625255791763,1625255851868,60105,17,2055,1625255791763,1625255851868,60105,16,2372,54,134.15151515151518,217.7345174191671,1251,54,120.8823529411765,113.35336472340664,410,66,148.25,294.9925422786143,1251,0,1878.28125,5037.117738538097,15103,0,3756.5625,6701.970237363039,15104,0,4007.0,6859.260653618998,15104,2,0,0,0,30,10,2,2,1,0,0,0,14,6,2,1,1,0,0,0,16,4,0,1,TLS,Web,0,,89be98bbd4f065fe510fca4893cf8d9b,f4febc55ea12b31ae17cfb7e614afda8,,,Encrypted Channel: Symmetric Cryptography,Establish Foothold,Benign,APT,True,True,,,,1
22,0,10.1.3.8,fa:16:3e:f6:2f:13,fa:16:3e,59034,10.8.10.84,fa:16:3e:2b:10:fa,fa:16:3e,443,6,4,0,0,1625255851822,1625255911907,60085,33,4684,1625255851822,1625255911907,60085,17,2056,1625255851823,1625255911907,60084,16,2628,54,141.9393939393939,219.8095680631788,1251,54,120.94117647058825,113.47437518457376,410,66,164.25,297.16852682162244,1251,0,1877.6562499999995,5034.87625250355,15103,0,3755.312500000001,6699.007923752591,15104,0,4005.6,6856.412147971936,15104,2,0,0,0,30,11,2,2,1,0,0,0,14,6,2,1,1,0,0,0,16,5,0,1,TLS,Web,0,,89be98bbd4f065fe510fca4893cf8d9b,f4febc55ea12b31ae17cfb7e614afda8,,,Encrypted Channel: Symmetric Cryptography,Establish Foothold,Benign,APT,True,True,,,,1
40,0,10.1.3.8,fa:16:3e:f6:2f:13,fa:16:3e,59040,10.8.10.84,fa:16:3e:2b:10:fa,fa:16:3e,443,6,4,0,0,1625255959341,1625256019419,60078,33,4420,1625255959341,1625256019419,60078,17,2048,1625255959342,1625256019419,60077,16,2372,54,133.93939393939397,217.5310235624363,1251,54,120.47058823529414,112.51728625363464,410,66,148.25,294.9925422786143,1251,0,1877.4375,5032.133485443583,15104,0,3754.875000000001,6694.294574486546,15104,0,4005.133333333333,6851.327857395514,15104,2,0,0,0,30,10,2,2,1,0,0,0,14,6,2,1,1,0,0,0,16,4,0,1,TLS,Web,0,,89be98bbd4f065fe510fca4893cf8d9b,f4febc55ea12b31ae17cfb7e614afda8,,,Encrypted Channel: Symmetric Cryptography,Establish Foothold,Benign,APT,True,True,,,,1
43,0,10.1.3.17,fa:16:3e:c7:60:b5,fa:16:3e,49225,10.1.5.21,fa:16:3e:2b:10:fa,fa:16:3e,3306,6,4,0,0,1625256050341,1625256050400,59,2,142,1625256050341,1625256050400,59,2,142,0,0,0,0,0,54,71.0,24.04163056034261,88,54,71.0,24.04163056034261,88,0,0.0,0.0,0,59,59.0,0.0,59,59,59.0,0.0,59,0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,MySQL,Database,1,,,,,,Data Transfer Size Limits,Data Exfiltration,Benign,APT,False,,True,,,1
48,0,10.1.3.17,fa:16:3e:c7:60:b5,fa:16:3e,49226,10.1.5.21,fa:16:3e:2b:10:fa,fa:16:3e,3306,6,4,0,0,1625256050344,1625256050400,56,2,142,1625256050344,1625256050400,56,2,142,0,0,0,0,0,54,71.0,24.04163056034261,88,54,71.0,24.04163056034261,88,0,0.0,0.0,0,56,56.0,0.0,56,56,56.0,0.0,56,0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,MySQL,Database,1,,,,,,Data Transfer Size Limits,Data Exfiltration,Benign,APT,False,,True,,,1
60,0,10.1.3.8,fa:16:3e:f6:2f:13,fa:16:3e,59046,10.8.10.84,fa:16:3e:2b:10:fa,fa:16:3e,443,6,4,0,0,1625256031867,1625256091963,60096,33,4422,1625256031867,1625256091963,60096,17,2050,1625256031867,1625256091963,60096,16,2372,54,134.0,217.58848774693945,1251,54,120.58823529411764,112.75418995736334,410,66,148.25,294.9925422786143,1251,0,1878.0,5032.093600083368,15103,0,3756.0,6694.342785765704,15104,0,4006.4,6851.59943579391,15104,2,0,0,0,30,10,2,2,1,0,0,0,14,6,2,1,1,0,0,0,16,4,0,1,TLS,Web,0,,89be98bbd4f065fe510fca4893cf8d9b,f4febc55ea12b31ae17cfb7e614afda8,,,Encrypted Channel: Symmetric Cryptography,Establish Foothold,Benign,APT,True,True,,,,1
85,0,10.1.3.8,fa:16:3e:f6:2f:13,fa:16:3e,59052,10.8.10.84,fa:16:3e:2b:10:fa,fa:16:3e,443,6,4,0,0,1625256139415,1625256199508,60093,32,4351,1625256139415,1625256199508,60093,17,2045,1625256139416,1625256199508,60092,15,2306,54,135.96875000000003,220.5783430972959,1251,54,120.29411764705884,112.164925837961,410,66,153.73333333333332,304.5011064175692,1251,0,1938.483870967742,5107.768096216896,15104,0,3755.812500000001,6700.597905846413,15104,0,4292.285714285715,7023.397714108852,15104,2,0,0,0,29,10,2,2,1,0,0,0,14,6,2,1,1,0,0,0,15,4,0,1,TLS,Web,0,,89be98bbd4f065fe510fca4893cf8d9b,f4febc55ea12b31ae17cfb7e614afda8,,,Encrypted Channel: Symmetric Cryptography,Establish Foothold,Benign,APT,True,True,,,,1
111,0,10.1.3.17,fa:16:3e:c7:60:b5,fa:16:3e,49226,10.1.5.21,fa:16:3e:2b:10:fa,fa:16:3e,3306,6,4,0,0,1625256205631,1625256205633,2,3,196,1625256205631,1625256205633,2,3,196,0,0,0,0,0,54,65.33333333333333,19.62990915244728,88,54,65.33333333333333,19.62990915244728,88,0,0.0,0.0,0,0,1.0,1.4142135623730951,2,0,1.0,1.4142135623730951,2,0,0.0,0.0,0,0,0,0,0,3,1,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,MySQL,Database,1,,,,,,Data Transfer Size Limits,Data Exfiltration,Benign,APT,False,,True,,,1
